,price,mid,std,lower,upper,bollinger,buy_sig,sell_sig
2010-05-03 16:00:00,530.60000000000002,554.45499999999959,21.406185653009473,533.04881434699007,575.8611856530091,-1.1143975104525834,,
2010-05-04 16:00:00,506.37,551.36249999999961,23.661752142945776,527.70074785705378,575.02425214294544,-1.9014864042269635,,
2010-05-05 16:00:00,509.75999999999999,548.67349999999965,25.210225426464643,523.46327457353505,573.88372542646425,-1.5435601761478059,,
2010-05-06 16:00:00,498.67000000000002,545.23249999999962,27.130322495036328,518.10217750496327,572.36282249503597,-1.7162530968261995,,
2010-05-07 16:00:00,493.13999999999999,541.57849999999962,29.0110257216379,512.56747427836171,570.58952572163753,-1.6696583038727837,,
2010-05-10 16:00:00,521.64999999999998,539.02449999999965,28.365493765831921,510.65900623416775,567.3899937658316,-0.61252238876688914,,
2010-05-11 16:00:00,509.05000000000001,535.13849999999957,26.758413782555163,508.38008621744439,561.89691378255475,-0.97496436866551672,,
2010-05-12 16:00:00,505.38999999999999,530.95799999999952,24.320904934699577,506.63709506529995,555.27890493469909,-1.0512766720090532,1.0,
2010-05-13 16:00:00,510.88,526.73699999999951,19.392779747018633,507.3442202529809,546.12977974701812,-0.81767545482680515,,
2010-05-14 16:00:00,507.52999999999997,524.60599999999954,19.02274992574246,505.58325007425708,543.628749925742,-0.89766201346586272,,
2010-05-17 16:00:00,507.97000000000003,522.49949999999956,18.372606747132334,504.12689325286721,540.87210674713185,-0.79082408936158988,,
2010-05-18 16:00:00,498.37,519.66599999999949,17.436010951341991,502.2299890486575,537.10201095134153,-1.2213802835653988,1.0,
2010-05-19 16:00:00,494.43000000000001,516.67249999999956,16.277844120491462,500.39465587950809,532.95034412049097,-1.3664278780013286,,
2010-05-20 16:00:00,475.00999999999999,513.0699999999996,17.148269208364241,495.92173079163535,530.21826920836384,-2.2194659727779089,,
2010-05-21 16:00:00,472.05000000000001,509.4229999999996,17.748152490964774,491.67484750903481,527.17115249096435,-2.1057403027737918,,
2010-05-24 16:00:00,477.16000000000003,506.69899999999961,18.330078789287644,488.36892121071196,525.02907878928727,-1.6115042569954798,,
2010-05-25 16:00:00,477.06999999999999,504.09949999999964,18.675285237034796,485.42421476296482,522.77478523703439,-1.4473406781706164,,
2010-05-26 16:00:00,475.47000000000003,501.41349999999954,18.739744500603337,482.67375549939618,520.15324450060291,-1.3844105504834525,,
2010-05-27 16:00:00,490.45999999999998,499.33649999999955,17.427366644402284,481.90913335559725,516.76386664440179,-0.50934258635401586,,
2010-05-28 16:00:00,485.63,497.33299999999946,16.516503421238649,480.81649657876079,513.84950342123807,-0.70856401633716981,,
2010-06-01 16:00:00,482.37,494.92149999999947,14.839481929902297,480.08201807009715,509.76098192990179,-0.84581793753241241,,
2010-06-02 16:00:00,493.37,494.27149999999949,14.594309011626665,479.67719098837284,508.86580901162614,-0.061770653155370385,,
2010-06-03 16:00:00,505.60000000000002,494.06349999999946,14.390163407524508,479.67333659247498,508.45366340752395,0.80169346749517867,,
2010-06-04 16:00:00,498.72000000000003,494.06599999999946,14.391010132443679,479.67498986755578,508.45701013244314,0.32339633960151259,,
2010-06-07 16:00:00,485.51999999999998,493.68499999999949,14.517132709516243,479.16786729048323,508.20213270951575,-0.56243888950930399,,
2010-06-08 16:00:00,484.77999999999997,491.84149999999954,13.045434077238488,478.79606592276104,504.88693407723804,-0.54130050086415959,,
2010-06-09 16:00:00,474.01999999999998,490.08999999999958,12.964733541027515,477.12526645897208,503.05473354102708,-1.2395164118988884,1.0,
2010-06-10 16:00:00,487.00999999999999,489.17099999999965,12.464913240998557,476.7060867590011,501.63591324099821,-0.17336662985281587,,
2010-06-11 16:00:00,488.5,488.05199999999968,11.369936166107074,476.68206383389258,499.42193616610678,0.039402156129580965,,
2010-06-14 16:00:00,483.19,486.8349999999997,10.43994933443642,476.3950506655633,497.27494933443609,-0.34913962541720184,,
2010-06-15 16:00:00,497.99000000000001,486.33599999999967,9.5796497024353755,476.75635029756427,495.91564970243508,1.2165371764102828,,1.0
2010-06-16 16:00:00,501.26999999999998,486.48099999999965,9.7910022604178657,476.68999773958177,496.27200226041754,1.5104684491584579,,
2010-06-17 16:00:00,500.07999999999998,486.76349999999968,10.108779027235153,476.65472097276455,496.87227902723481,1.3173203177280741,,
2010-06-18 16:00:00,500.02999999999997,488.01449999999966,10.12582964764124,477.88867035235842,498.1403296476409,1.1866188172343255,,
2010-06-21 16:00:00,488.56,488.83999999999969,9.4030213509647425,479.43697864903493,498.24302135096445,-0.029777662896719969,,
2010-06-22 16:00:00,486.25,489.29449999999969,9.0206596065502875,480.2738403934494,498.31515960654997,-0.33750303556393424,,
2010-06-23 16:00:00,482.05000000000001,489.54349999999965,8.7294964435678484,480.81400355643183,498.27299644356748,-0.85841148437846893,,
2010-06-24 16:00:00,475.10000000000002,489.52499999999975,8.7612258815584685,480.76377411844129,498.28622588155821,-1.6464590908862371,1.0,
2010-06-25 16:00:00,472.68000000000001,488.6359999999998,9.5297204907484279,479.10627950925135,498.16572049074824,-1.6743408178120307,,
2010-06-28 16:00:00,472.07999999999998,487.95849999999984,10.211914751648386,477.74658524835144,498.17041475164825,-1.5548993882304771,,
2010-06-29 16:00:00,454.25999999999999,486.55299999999977,12.662064810423852,473.89093518957594,499.2150648104236,-2.550373930594247,,
2010-06-30 16:00:00,444.94999999999999,484.13199999999978,15.582282651519359,468.54971734848044,499.71428265151911,-2.5145224789116072,,
2010-07-01 16:00:00,439.49000000000001,480.82649999999978,17.661807821584873,463.1646921784149,498.48830782158467,-2.3404455771215873,,
2010-07-02 16:00:00,436.55000000000001,477.71799999999973,19.700154046960375,458.01784595303934,497.41815404696013,-2.0897298519526917,,
2010-07-06 16:00:00,436.06999999999999,475.24549999999971,21.673710603311648,453.57178939668808,496.91921060331134,-1.8075123691101547,,
2010-07-07 16:00:00,450.19999999999999,473.51649999999972,22.244841454055504,451.27165854594421,495.76134145405524,-1.0481755982912999,,
2010-07-08 16:00:00,456.56,472.64349999999968,22.564356213198312,450.07914378680135,495.207856213198,-0.71278346468365605,,
2010-07-09 16:00:00,467.49000000000001,471.66749999999968,22.331195992916662,449.33630400708302,493.99869599291634,-0.1870701417570626,,
2010-07-12 16:00:00,475.82999999999998,471.03399999999965,22.005897391388903,449.02810260861077,493.03989739138854,0.21794157787344084,,
2010-07-13 16:00:00,489.19999999999999,471.33449999999965,22.220616428758497,449.11388357124116,493.55511642875814,0.80400559801204907,,
2010-07-14 16:00:00,491.33999999999997,471.00199999999967,21.847381295569839,449.15461870442982,492.84938129556951,0.93091248442322005,,
2010-07-15 16:00:00,494.01999999999998,470.63949999999966,21.373743970491535,449.26575602950811,492.0132439704912,1.0938888400777751,,1.0
2010-07-16 16:00:00,459.61000000000001,468.6159999999997,20.330062624499455,448.28593737550023,488.94606262449918,-0.4429892896220935,,
